query,prompt,style,persona,sentence
"area:
  type: area
  value: Pleven, Pleven Province, Bulgaria
entities:
- id: 0
  is_area: false
  name: hairdresser
  type: nwr
- id: 1
  is_area: true
  name: data center
  type: nwr
- id: 2
  is_area: false
  name: city limit sign
  properties:
  - name: brand name
    operator: '~'
    value: co Javier Min
  type: nwr
- id: 3
  is_area: true
  name: cow barn
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The sentence must use all of the following search criteria:
Search area:
- Pleven, Pleven Province, Bulgaria
Objects:
- Obj. 0: hairdresser
- Obj. 1: data center
- Obj. 2: city limit sign, brand name: ends with the letters ""co Javier Min""
- Obj. 3: cow barn
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",hobby fact checker,"Find a hairdresser near a data center inside Pleven, Pleven Province, Bulgaria, not far from a city limit sign with a brand name ending in ""co Javier Min"" and a cow barn."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: pedestrian railway crossing
  type: nwr
- id: 1
  is_area: false
  name: outdoor seating
  type: nwr
- id: 2
  is_area: true
  name: dam
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 50 m
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Objects:
- Obj. 0: pedestrian railway crossing
- Obj. 1: outdoor seating
- Obj. 2: dam
Distances:
- Obj. 1 is within Obj. 0
- Use this term to describe the spatial relation between Obj. 2 and 1 similar to (similar to ""X is _ Y""): next to
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,investigative journalist,"Locate a pedestrian railway crossing featuring outdoor seating within its vicinity, and identify a dam situated next to the outdoor seating area."
"area:
  type: area
  value: Francisco Villa, Mexico
entities:
- id: 0
  is_area: false
  name: second hand shop
  type: nwr
- id: 1
  is_area: false
  name: hostel
  properties:
  - name: brand
    operator: '~'
    value: k
  - name: public wifi
  - name: house number
    operator: '='
    value: '17922'
  type: nwr
- id: 2
  is_area: false
  name: shoe shop
  type: nwr
- id: 3
  is_area: false
  name: marked crosswalk
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 700 ft
- source: 1
  target: 2
  type: dist
  value: 71200 ft
- source: 2
  target: 3
  type: dist
  value: 2000 m
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Search area:
- Francisco Villa, Mexico
Objects:
- Obj. 0: second hand shop
- Obj. 1: hostel, brand: ends with the letters ""k"", public wifi, house number: 17922
- Obj. 2: shoe shop
- Obj. 3: marked crosswalk
Distances:
- Obj. 0 is seven hundred feet away Obj. 1
- Obj. 1 is about seventy-one thousand, two hundred feet away Obj. 2
- Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): nearby
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,political journalist,"In the vibrant neighborhood of Francisco Villa, Mexico, I am seeking the exact location of a second-hand shop situated precisely seven hundred feet away from a hostel, which notably ends with the letter ""k,"" offers public Wi-Fi, and is located at house number 17922. Additionally, this hostel is approximately seventy-one thousand, two hundred feet distant from a shoe shop. Furthermore, I am interested in identifying a marked crosswalk that is nearby the aforementioned shoe shop."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: educational district
  properties:
  - name: school
  type: nwr
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: educational district, school
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,human rights abuse monitoring OSINT Expert,"Search for a school with a playground adjacent to a healthcare facility, located south of a residential area with apartment buildings."
"area:
  type: area
  value: ""Ora\u015F Ocna Sibiului, Romania""
entities:
- id: 0
  is_area: false
  name: estuary
  type: nwr
- id: 1
  is_area: true
  name: village green
  properties:
  - name: village green
  type: nwr
- id: 2
  is_area: false
  name: floating home
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 4500 mi
- source: 0
  target: 2
  type: dist
  value: 4500 mi
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The text should contain a medium amount of typos and grammar mistakes.
The sentence must use all of the following search criteria:
Search area:
- Oraş Ocna Sibiului, Romania
Objects:
- Obj. 0: estuary
- Obj. 1: village green, village green
- Obj. 2: floating home
Distances:
- All objects are within four thousand, five hundred mi.
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",expert fact checker,"Find estuary and village green, village green and floating home within 4500 mi of Oras Ocna Sibiului Romania"
"area:
  type: area
  value: ""C\u0103tina, Romania""
entities:
- id: 0
  is_area: false
  name: florist
  type: nwr
- id: 1
  is_area: false
  name: farm auxiliary
  type: nwr
- id: 2
  is_area: false
  name: make up shop
  type: nwr
- id: 3
  is_area: false
  name: wayside cross
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 150 m
- source: 1
  target: 2
  type: dist
  value: 67400 yd
- source: 2
  target: 3
  type: dist
  value: 82 yd
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The text should contain a small amount of typos and grammar mistakes.
The sentence must use all of the following search criteria:
Search area:
- Cătina, Romania
Objects:
- Obj. 0: florist
- Obj. 1: farm auxiliary
- Obj. 2: make up shop
- Obj. 3: wayside cross
Distances:
- Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): in surroundings
- Obj. 1 is sixty-seven thousand, four hundred yards from Obj. 2
- Obj. 2 is 82 yards away from Obj. 3
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,human rights abuse monitoring OSINT Expert,"Looking for the florist in Cătina, Romania, and its surroundings to the farm auxiliary. The farm auxiliary is sixty-seven thousand, four hundred yards from the make up shop. The make up shop is 82 yards away from the wayside cross."
"area:
  type: area
  value: ""P\xF3veda de Soria La, Soria, Spain""
entities:
- id: 0
  is_area: true
  name: dual carriageway
  type: nwr
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The text should contain a medium amount of typos.
The sentence must use all of the following search criteria:
Search area:
- Póveda de Soria La, Soria, Spain
Objects:
- Obj. 0: dual carriageway
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,hobby fact checker,"Could you please locate the dual carrageway that traverses through the picturesque region of Póveda de Soria La, situated in the province of Soria, Spain?"
"area:
  type: area
  value: ""Veszpr\xE9mi J\xE1r\xE1s, Veszpr\xE9m County, Hungary""
entities:
- id: 0
  is_area: true
  name: shuffleboard
  type: nwr
- id: 1
  is_area: false
  name: campfire
  type: nwr
- id: 2
  is_area: true
  name: underground parking garage
  type: nwr
- id: 3
  is_area: false
  name: forestry office
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 3
  type: contains
- source: 1
  target: 3
  type: dist
  value: 6296 km
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Search area:
- Veszprémi Járás, Veszprém County, Hungary
Objects:
- Obj. 0: shuffleboard
- Obj. 1: campfire
- Obj. 2: underground parking garage
- Obj. 3: forestry office
Distances:
- Obj. 1 is in Obj. 0
- Obj. 3 is in Obj. 2
- Obj. 1 is at least 6296 km away Obj. 3
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,legal professional,"Within the confines of Veszprémi Járás, located in Veszprém County, Hungary, I am seeking specific geographic locations characterized by the presence of the following objects and their respective spatial relationships: a shuffleboard (Obj. 0) that contains a campfire (Obj. 1) within its vicinity, an underground parking garage (Obj. 2) that houses a forestry office (Obj. 3) inside it, and additionally, the campfire (Obj. 1) must be situated at a minimum distance of 6296 kilometers from the forestry office (Obj. 3)."
"area:
  type: area
  value: Barisal District
entities:
- id: 0
  is_area: true
  name: runaway truck ramp
  type: nwr
- id: 1
  is_area: false
  name: public chess
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The sentence must use all of the following search criteria:
Search area:
- Barisal District
Objects:
- Obj. 0: runaway truck ramp
- Obj. 1: public chess
Distances:
- Obj. 1 is within Obj. 0
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,hobby fact checker,"I'm looking for a location in Barisal District. I need to find a runaway truck ramp. Within this ramp, there should be a public chess area."
"area:
  type: area
  value: Krasnogvardeyskiy Rayon
entities:
- id: 0
  is_area: false
  name: cycle gate
  type: nwr
- id: 1
  is_area: false
  name: fire service inlet
  type: nwr
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
You are searching for an area that fulfills all of the following search criteria:
Search area:
- Krasnogvardeyskiy Rayon
Objects:
- Obj. 0: cycle gate
- Obj. 1: fire service inlet
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,expert fact checker,"I'm looking for an area in Krasnogvardeyskiy Rayon. There should be a cycle gate. Additionally, there needs to be a fire service inlet."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: american football field
  type: nwr
- id: 1
  is_area: false
  name: cctv
  type: nwr
- id: 2
  is_area: false
  name: chocolate store
  type: nwr
- id: 3
  is_area: false
  name: pipeline
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 3
  type: dist
  value: 50 m
- source: 3
  target: 1
  type: dist
  value: 8.8 ft
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The text should contain a medium amount of typos.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: american football field
- Obj. 1: cctv
- Obj. 2: chocolate store
- Obj. 3: pipeline
Distances:
- Obj. 1 is contained in Obj. 0
- Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): adjacent
- Obj. 3 is approximately 8.8 ft away from Obj. 1
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,OSINT beginner,"Find an American football field with a CCTV camera inside it, a chocolate store adjacent to a pipeline, and the pipeline is approximately 8.8 feet away from the CCTV camera."
"area:
  type: area
  value: Dr Kenneth Kaunda District Municipality, South Africa
entities:
- id: 0
  is_area: true
  name: quaker friends meeting house
  type: nwr
- id: 1
  is_area: false
  name: cash point
  type: nwr
- id: 2
  is_area: true
  name: aquaculture
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 2000 m
","Act as a legal professional: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
The sentence must use all of the following search criteria:
Search area:
- Dr Kenneth Kaunda District Municipality, South Africa
Objects:
- Obj. 0: quaker friends meeting house
- Obj. 1: cash point
- Obj. 2: aquaculture
Distances:
- Obj. 1 is contained in Obj. 0
- Use this term to describe the spatial relation between Obj. 2 and 1 similar to (similar to ""X is _ Y""): nearby
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",legal professional,"Locate a quaker friends meeting house containing a cash point and nearby aquaculture in Dr Kenneth Kaunda District Municipality, South Africa."
"area:
  type: area
  value: Fukuroi-shi
entities:
- id: 0
  is_area: true
  name: foot trail
  properties:
  - name: brand
    operator: '~'
    value: Azalea Drive
  type: nwr
- id: 1
  is_area: false
  name: wildlife crossing
  type: nwr
- id: 2
  is_area: true
  name: power substation
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 12 in
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
You are searching for an area that fulfills all of the following search criteria:
Search area:
- Fukuroi-shi
Objects:
- Obj. 0: foot trail, brand:  ""Azalea Drive""
- Obj. 1: wildlife crossing
- Obj. 2: power substation
Distances:
- Obj. 1 is inside Obj. 0
- Obj. 2 is at max 12 in from Obj. 1
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,expert fact checker,"I'm looking for an area in Fukuroi-shi where there is a foot trail called ""Azalea Drive"" that contains a wildlife crossing, and a power substation that is no more than 12 meters from the wildlife crossing."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: industrial building
  properties:
  - name: industrial area
  type: nwr
- id: 1
  is_area: false
  name: charity office
  type: nwr
- id: 2
  is_area: true
  name: bunker
  properties:
  - name: army base
  - name: brand
    operator: '~'
    value: Li
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 900 m
- source: 1
  target: 2
  type: dist
  value: 100 m
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
The sentence must use all of the following search criteria:
Objects:
- Obj. 0: industrial building, industrial area
- Obj. 1: charity office
- Obj. 2: bunker, army base, brand: contains the letters ""Li""
Distances:
- Obj. 0 is nine hundred m from Obj. 1
- Use this term to describe the spatial relation between Obj. 1 and 2 similar to (similar to ""X is _ Y""): near
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,investigative journalist,"I need to find an industrial building within an industrial area. This building should be nine hundred meters from a charity office. Additionally, there should be a bunker at an army base, with the brand name containing the letters ""Li,"" near this charity office."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: geyser
  type: nwr
- id: 1
  is_area: false
  name: construction company
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 6 m
","Act as a hobby fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: geyser
- Obj. 1: construction company
Distances:
- All objects are within 6 m.
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,hobby fact checker,Find a location where a geyser is within 6 meters of a construction company.
"area:
  type: area
  value: San Bovio-San Felice
entities:
- id: 0
  is_area: false
  name: weir
  type: nwr
- id: 1
  is_area: true
  name: residential dwelling
  type: nwr
- id: 2
  is_area: false
  name: fish shop
  properties:
  - name: brand
    operator: '~'
    value: Klic
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 50 m
- source: 1
  target: 2
  type: dist
  value: 7300 km
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request as a chain of thoughts split into multiple sentences.
You are searching for an area that fulfills all of the following search criteria:
Search area:
- San Bovio-San Felice
Objects:
- Obj. 0: weir
- Obj. 1: residential dwelling
- Obj. 2: fish shop, brand: contains the letters ""Klic""
Distances:
- Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): adjacent
- Obj. 1 is at max seven thousand, three hundred kilometers away Obj. 2
Please take your time and make sure that all the provided information is contained in the sentence.",as a chain of thoughts split into multiple sentences,OSINT beginner,"I'm looking for an area in San Bovio-San Felice. There is a weir adjacent to a residential dwelling. The residential dwelling is at most seven thousand, three hundred kilometers away from a fish shop, where the fish shop's brand contains the letters ""Klic."""
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: false
  name: guest house
  type: nwr
- id: 1
  is_area: true
  name: muezzin
  type: nwr
- id: 2
  is_area: false
  name: travel agency
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 900 ft
- source: 0
  target: 2
  type: dist
  value: 900 ft
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
You are searching for an area that fulfills all of the following search criteria:
Objects:
- Obj. 0: guest house
- Obj. 1: muezzin
- Obj. 2: travel agency
Distances:
- All objects are within nine hundred feet.
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,political journalist,"Find an area where a guest house, a muezzin, and a travel agency are all within nine hundred feet of each other."
"area:
  type: area
  value: Settimo Vittone, Piedmont, Italy
entities:
- id: 0
  is_area: true
  name: berth
  type: nwr
- id: 1
  is_area: false
  name: cooling tower
  type: nwr
- id: 2
  is_area: true
  name: conservation
  type: nwr
- id: 3
  is_area: false
  name: beacon
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 35219 km
- source: 0
  target: 2
  type: dist
  value: 35219 km
- source: 0
  target: 3
  type: dist
  value: 35219 km
","Act as a expert fact checker: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The sentence must use all of the following search criteria:
Search area:
- Settimo Vittone, Piedmont, Italy
Objects:
- Obj. 0: berth
- Obj. 1: cooling tower
- Obj. 2: conservation
- Obj. 3: beacon
Distances:
- All objects are within 35219 km.
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,expert fact checker,"Locate a berth, a cooling tower, a conservation site, and a beacon, ensuring all four objects are situated within a radius of 35,219 kilometers from Settimo Vittone, Piedmont, Italy, and describe each object with its respective properties and spatial relations."
"area:
  type: area
  value: Kagua Erave, Southern Highlands Province, Papua new Guinea
entities:
- id: 0
  is_area: false
  name: beehive
  type: nwr
- id: 1
  is_area: true
  name: shot put ring
  type: nwr
- id: 2
  is_area: false
  name: funicular
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 5.0 m
- source: 1
  target: 2
  type: dist
  value: 1.0 m
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area:
- Kagua Erave, Southern Highlands Province, Papua new Guinea
Objects:
- Obj. 0: beehive
- Obj. 1: shot put ring
- Obj. 2: funicular
Distances:
- Obj. 0 is 5.0 meters from Obj. 1
- Obj. 1 is no less than 1.0 meters away Obj. 2
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,investigative journalist,"Find a beehive in Kagua Erave, Southern Highlands Province, Papua New Guinea that is 5.0 meters from a shot put ring, and the shot put ring is no less than 1.0 meters away from a funicular."
"area:
  type: bbox
  value: ''
entities:
- id: 0
  is_area: true
  name: trench
  properties:
  - name: metro tunnel
  type: nwr
- id: 1
  is_area: false
  name: chimney
  type: nwr
- id: 2
  is_area: true
  name: data center
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 1
  type: dist
  value: 250 m
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very precise wording, short, to the point.
You are searching for a location that fulfills all of the following search criteria:
Objects:
- Obj. 0: trench, metro tunnel
- Obj. 1: chimney
- Obj. 2: data center
Distances:
- Obj. 1 is within Obj. 0
- Use this term to describe the spatial relation between Obj. 2 and 1 similar to (similar to ""X is _ Y""): on the opposite side
Please take your time and make sure that all the provided information is contained in the sentence.","with very precise wording, short, to the point",political journalist,"Find a location where a trench or metro tunnel contains a chimney, and a data center is on the opposite side of the chimney."
"area:
  type: area
  value: Alaska
entities:
- id: 0
  is_area: true
  name: island
  type: nwr
- id: 1
  is_area: false
  name: ice cream shop
  type: nwr
- id: 2
  is_area: true
  name: volleyball
  type: nwr
- id: 3
  is_area: true
  name: funnel ball court
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 2
  target: 3
  type: dist
  value: 2000 m
- source: 3
  target: 1
  type: dist
  value: 6.91 in
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request with very elaborate wording.
The text should contain a small amount of typos and grammar mistakes.
You are searching for a place that fulfills all of the following search criteria:
Search area:
- Alaska
Objects:
- Obj. 0: island
- Obj. 1: ice cream shop
- Obj. 2: volleyball
- Obj. 3: funnel ball court
Distances:
- Obj. 1 is inside Obj. 0
- Use this term to describe the spatial relation between Obj. 2 and 3 similar to (similar to ""X is _ Y""): nearby
- Obj. 3 is less than 6.91 in from Obj. 1
Please take your time and make sure that all the provided information is contained in the sentence.",with very elaborate wording,OSINT beginner,"I'm looking for a location in Alaska where there is an island that has an ice cream shop on it. Additionally, there should be a volleyball and a funnel ball court nearby each other, with the funnel ball court being less than 6.91 miles from the ice cream shop."
"area:
  type: area
  value: Kholmskiy, Russia
entities:
- id: 0
  is_area: true
  name: dam
  properties:
  - name: brand name
    operator: '~'
    value: ""Steinb\xFChl""
  type: nwr
- id: 1
  is_area: false
  name: cooling tower
  type: nwr
- id: 2
  is_area: false
  name: historic monument
  type: nwr
relations:
- source: 0
  target: 1
  type: contains
- source: 0
  target: 2
  type: contains
","Act as a investigative journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in perfect grammar and clear wording.
The sentence must use all of the following search criteria:
Search area:
- Kholmskiy, Russia
Objects:
- Obj. 0: dam, brand name:  ""Steinbühl""
- Obj. 1: cooling tower
- Obj. 2: historic monument
Distances:
- Obj. 1 is in Obj. 0
- Obj. 2 is in Obj. 0
Please take your time and make sure that all the provided information is contained in the sentence.",in perfect grammar and clear wording,investigative journalist,"Show me the location of the ""Steinbühl"" dam in Kholmskiy, Russia, which contains both a cooling tower and a historic monument."
"area:
  type: area
  value: Balkh
entities:
- id: 0
  is_area: true
  name: conservatory
  type: nwr
- id: 1
  is_area: false
  name: shoe shop
  type: nwr
- id: 2
  is_area: false
  name: bounday wall
  type: nwr
- id: 3
  is_area: false
  name: observation tower
  type: nwr
","Act as a political journalist: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The text should contain a small amount of typos.
The sentence must use all of the following search criteria:
Search area:
- Balkh
Objects:
- Obj. 0: conservatory
- Obj. 1: shoe shop
- Obj. 2: bounday wall
- Obj. 3: observation tower
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,political journalist,Find a conservatory near a shoe shop by the boundary wall and an observation tower in Balkh.
"area:
  type: area
  value: Berkeley County
entities:
- id: 0
  is_area: false
  name: government office
  properties:
  - name: name
    operator: '~'
    value: ""s Fun\xE8bres G""
  type: nwr
- id: 1
  is_area: false
  name: tattoo shop
  properties:
  - name: house number
    operator: '='
    value: 62-14
  type: nwr
- id: 2
  is_area: false
  name: utility pole
  properties:
  - name: power pole
  type: nwr
relations:
- source: 0
  target: 1
  type: dist
  value: 1000 m
- source: 1
  target: 2
  type: dist
  value: 295 in
","Act as a OSINT beginner: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area:
- Berkeley County
Objects:
- Obj. 0: government office, name: begins with the letters ""s Funèbres G""
- Obj. 1: tattoo shop, house number: 62-14
- Obj. 2: utility pole, power pole
Distances:
- Use this term to describe the spatial relation between Obj. 0 and 1 similar to (similar to ""X is _ Y""): on the edge
- Obj. 1 is approximately 295 in away Obj. 2
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,OSINT beginner,"Find a government office in Berkeley County with a name that begins with ""s Funèbres G"" on the edge of a tattoo shop at house number 62-14, which is approximately 295 in away from a utility pole or power pole."
"area:
  type: area
  value: Serralunga di Crea, Piedmont, Italy
entities:
- id: 0
  is_area: false
  name: service station
  type: nwr
","Act as a human rights abuse monitoring OSINT Expert: Return a sentence simulating a user using a natural language interface to search for specific geographic locations by describing objects, their properties and the spatial relation between objects.
If one object has multiple tags assigned to it, they need to be put in a logical connection.
Do not affirm this request and return nothing but the answers.
Write the search request in simple language.
The sentence must use all of the following search criteria:
Search area:
- Serralunga di Crea, Piedmont, Italy
Objects:
- Obj. 0: service station
Please take your time and make sure that all the provided information is contained in the sentence.",in simple language,human rights abuse monitoring OSINT Expert,"Find service stations located in or around Serralunga di Crea, Piedmont, Italy."
